image_name,estimated_yield
images/NI041_2024-12-18_00.jpg,21
images/NI041_2024-12-18_01.jpg,15
images/NI041_2024-12-18_02.jpg,13
images/NI041_2024-12-18_03.jpg,15
images/NI041_2024-12-18_04.jpg,7
images/NI041_2024-12-18_05.jpg,10
images/NI061_2024-12-18_00.jpg,6
images/NI061_2024-12-18_01.jpg,10
images/NI061_2024-12-18_02.jpg,6
images/NI061_2024-12-18_03.jpg,4
images/NI061_2024-12-18_04.jpg,2
images/NI061_2024-12-18_05.jpg,1
images/NI065_2024-12-18_00.jpg,11
images/NI065_2024-12-18_01.jpg,21
images/NI065_2024-12-18_02.jpg,13
images/NI065_2024-12-18_03.jpg,16
images/NI065_2024-12-18_04.jpg,7
images/NI065_2024-12-18_05.jpg,8
images/NI079_2024-12-18_00.jpg,30
images/NI079_2024-12-18_01.jpg,9
images/NI079_2024-12-18_02.jpg,15
images/NI079_2024-12-18_03.jpg,14
images/NI079_2024-12-18_04.jpg,5
images/NI079_2024-12-18_05.jpg,8
images/NI114_2024-12-18_00.jpg,15
images/NI114_2024-12-18_01.jpg,28
images/NI114_2024-12-18_02.jpg,8
images/NI114_2024-12-18_03.jpg,28
images/NI114_2024-12-18_04.jpg,7
images/NI114_2024-12-18_05.jpg,7
images/NI122_2024-12-18_00.jpg,8
images/NI122_2024-12-18_01.jpg,16
images/NI122_2024-12-18_02.jpg,12
images/NI122_2024-12-18_03.jpg,7
images/NI122_2024-12-18_04.jpg,4
images/NI122_2024-12-18_05.jpg,4
images/NI126_2024-12-18_00.jpg,20
images/NI126_2024-12-18_01.jpg,7
images/NI126_2024-12-18_02.jpg,28
images/NI126_2024-12-18_03.jpg,7
images/NI126_2024-12-18_04.jpg,18
images/NI126_2024-12-18_05.jpg,21
images/NI128_2024-12-18_00.jpg,9
images/NI128_2024-12-18_01.jpg,19
images/NI128_2024-12-18_02.jpg,10
images/NI128_2024-12-18_03.jpg,13
images/NI128_2024-12-18_04.jpg,18
images/NI128_2024-12-18_05.jpg,9
images/NI178_2024-12-18_00.jpg,4
images/NI178_2024-12-18_01.jpg,13
images/NI178_2024-12-18_02.jpg,3
images/NI178_2024-12-18_03.jpg,7
images/NI178_2024-12-18_04.jpg,5
images/NI178_2024-12-18_05.jpg,8
images/NI179_2024-12-18_00.jpg,4
images/NI179_2024-12-18_01.jpg,18
images/NI179_2024-12-18_02.jpg,5
images/NI179_2024-12-18_03.jpg,13
images/NI179_2024-12-18_04.jpg,10
images/NI179_2024-12-18_05.jpg,12
images/NI192_2024-12-18_00.jpg,19
images/NI192_2024-12-18_01.jpg,30
images/NI192_2024-12-18_02.jpg,11
images/NI192_2024-12-18_03.jpg,18
images/NI192_2024-12-18_04.jpg,11
images/NI192_2024-12-18_05.jpg,6
images/NI200_2024-12-18_00.jpg,22
images/NI200_2024-12-18_01.jpg,7
images/NI200_2024-12-18_02.jpg,22
images/NI200_2024-12-18_03.jpg,14
images/NI200_2024-12-18_04.jpg,7
images/NI200_2024-12-18_05.jpg,15
images/NI216_2024-12-18_00.jpg,12
images/NI216_2024-12-18_01.jpg,23
images/NI216_2024-12-18_02.jpg,9
images/NI216_2024-12-18_03.jpg,19
images/NI216_2024-12-18_04.jpg,5
images/NI216_2024-12-18_05.jpg,9
images/NI219_2024-12-18_00.jpg,3
images/NI219_2024-12-18_01.jpg,12
images/NI219_2024-12-18_02.jpg,8
images/NI219_2024-12-18_03.jpg,9
images/NI219_2024-12-18_04.jpg,5
images/NI219_2024-12-18_05.jpg,3
images/NI239_2024-12-18_00.jpg,5
images/NI239_2024-12-18_01.jpg,20
images/NI239_2024-12-18_02.jpg,11
images/NI239_2024-12-18_03.jpg,17
images/NI239_2024-12-18_04.jpg,9
images/NI239_2024-12-18_05.jpg,7
images/NI243_2024-12-18_00.jpg,15
images/NI243_2024-12-18_01.jpg,8
images/NI243_2024-12-18_02.jpg,8
images/NI243_2024-12-18_03.jpg,12
images/NI243_2024-12-18_04.jpg,6
images/NI243_2024-12-18_05.jpg,5
