epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1001.66,1.8925,2.95789,1.41278,0.01838,0.60079,0.09107,0.04552,1.58483,3.10013,1.23317,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085
2,1757.67,1.82488,1.78392,1.3581,0.73656,0.56859,0.62461,0.31521,1.62813,1.91598,1.23444,0.00392897,0.00130966,0.00392897,0.00130966,0.00392897,0.00130966,0.00392897,0.00130966
3,2443.55,1.7385,1.52264,1.25317,0.76025,0.61685,0.69191,0.3531,1.57555,1.43266,1.22069,0.00585008,0.00195003,0.00585008,0.00195003,0.00585008,0.00195003,0.00585008,0.00195003
4,3097.87,1.6803,1.40846,1.21149,0.7835,0.64335,0.73299,0.37936,1.55239,1.36779,1.20107,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,3779.95,1.64149,1.33677,1.20529,0.79499,0.6427,0.73588,0.37577,1.54916,1.42143,1.19964,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,4447.56,1.65379,1.29313,1.19614,0.79796,0.66123,0.73845,0.38942,1.53288,1.25657,1.19739,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,5108.89,1.62009,1.28192,1.19787,0.81676,0.65902,0.75202,0.39706,1.53298,1.18429,1.19016,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,5768,1.59704,1.22953,1.17715,0.80248,0.69177,0.75814,0.40136,1.52991,1.17764,1.17538,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,6437.97,1.59233,1.18845,1.16626,0.79592,0.66608,0.75817,0.40334,1.5252,1.17085,1.1879,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,7099.66,1.59176,1.18266,1.17522,0.80143,0.67093,0.75132,0.40802,1.51504,1.10995,1.18138,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
